Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
8,1496.0,4,0,36000,10,637,1,1075000.0,2021,5,1
29,2393.0,1,2,157000,10,957,1,1575000.0,2017,7,1
10,1591.0,4,1,65000,10,531,3,690000.0,2016,5,1
10,1591.0,4,1,65039,10,526,3,750000.0,2016,5,0
10,1197.0,4,0,78010,10,2100,1,449000.0,2017,5,1
19,998.0,4,0,58033,10,1877,1,325000.0,2014,5,1
10,1197.0,4,0,40379,10,2071,1,652000.0,2018,5,0
10,1582.0,1,1,65000,10,508,1,1025000.0,2017,5,0
19,998.0,0,2,31999,10,1864,1,535000.0,2020,5,1
10,1197.0,4,3,37981,10,2100,1,423000.00000000006,2016,5,1
19,1197.0,4,0,59587,10,255,3,587000.0,2021,5,1
28,1199.0,4,3,6100,10,175,1,825000.0,2023,5,0
19,1197.0,4,0,28440,10,252,1,615000.0,2018,5,1
24,999.0,4,1,49814,10,1096,1,561000.0,2021,5,1
24,1198.0,4,0,63493,10,1123,1,262000.0,2015,5,0
10,1591.0,4,0,86252,10,526,3,705000.0,2016,5,0
9,1497.0,4,1,72000,10,1126,3,425000.0,2014,7,1
28,1497.0,1,0,35000,10,1140,1,675000.0,2018,5,0
30,1197.0,4,1,70457,10,1220,1,575000.0,2014,5,0
15,2179.0,1,1,120000,10,779,2,1000000.0,2012,5,0
29,2393.0,1,0,79000,10,968,1,1825000.0,2019,7,1
21,2143.0,1,0,110000,10,1086,4,1345000.0,2013,5,0
19,1197.0,4,0,65151,10,1562,3,333000.0,2015,5,1
10,1197.0,4,1,68000,10,2078,3,475000.0,2017,5,1
9,1199.0,4,0,42000,10,987,1,415000.00000000006,2015,5,1
26,999.0,4,0,10000,10,1714,1,699000.0,2023,7,0
19,998.0,4,1,25311,10,346,1,338000.0,2016,5,1
9,1497.0,4,1,56987,10,429,1,555000.0,2014,5,0
21,2987.0,1,0,77869,10,42,3,2649000.0,2014,7,0
9,1497.0,4,0,36517,10,406,1,345000.0,2013,5,1
25,2995.0,4,1,15000,10,339,1,15000000.0,2023,5,0
21,2143.0,1,0,43000,10,1225,1,3699000.0,2018,5,0
19,1197.0,4,0,57652,10,258,1,583000.0,2020,5,1
21,2987.0,1,0,35800,10,610,1,3650000.0,2019,5,0
10,1497.0,4,1,1700,10,543,1,2045000.0,2024,5,0
19,1197.0,4,0,49140,10,1594,1,575000.0,2018,5,1
10,1086.0,0,1,73890,10,1433,1,400000.0,2019,5,1
10,1591.0,4,0,34000,10,531,1,1145000.0,2019,5,1
19,998.0,0,2,75283,10,1864,1,585000.0,2020,5,1
21,1991.0,4,0,56000,10,605,3,1475000.0,2014,5,0
27,999.0,4,2,28200,10,1333,3,770000.0,2021,5,0
19,1197.0,4,2,43671,10,249,1,542000.0,2018,5,0
14,2199.0,1,1,42000,10,332,3,2900000.0,2020,7,0
28,1199.0,4,1,77961,10,1662,1,362000.0,2018,5,1
10,1353.0,4,0,41452,10,550,1,1595000.0,2022,5,0
18,2179.0,1,0,42071,10,1998,3,550000.0,2014,7,1
18,1497.0,1,3,58797,10,1108,3,850000.0,2021,7,1
10,1497.0,4,1,8300,10,548,1,1895000.0,2023,5,0
17,1956.0,2,0,27153,10,2042,1,1800000.0,2022,5,0
13,1956.0,1,0,52373,10,468,1,1150000.0,2018,5,1
9,1498.0,1,0,88000,10,201,1,745000.0,2018,5,0
9,1497.0,4,2,63088,10,441,1,666000.0,2017,5,0
19,998.0,4,0,27270,10,1878,1,575000.0,2023,5,1
9,1198.0,4,2,54000,10,288,3,311000.0,2016,5,0
10,1582.0,1,1,92000,10,508,1,1149000.0,2018,5,0
19,1197.0,4,0,43351,10,1575,1,396000.0,2015,5,1
9,1497.0,4,0,48000,10,440,1,811000.0,2019,5,0
17,1497.0,2,0,21000,10,2042,1,1800000.0,2022,5,0
9,1497.0,4,0,67298,10,428,1,497000.0,2016,5,0
12,1999.0,1,0,58100,10,735,3,3550000.0,2018,5,0
18,1997.0,4,3,10442,10,1650,1,1244000.0,2021,4,0
